Model,Accuracy,F1 Score,Precision,Recall,ROC,ROC_AUC,cm
"LR(solver=lbfgs,penalty=l2,C=0.01,class_weight=None)",0.9482564679415073,0.7628865979381443,0.8131868131868132,0.7184466019417476,"(array([0.        , 0.00127226, 0.00127226, 0.00254453, 0.00254453,
       0.00381679, 0.00381679, 0.00508906, 0.00508906, 0.00636132,
       0.00636132, 0.00763359, 0.00763359, 0.01017812, 0.01017812,
       0.01145038, 0.01145038, 0.01272265, 0.01272265, 0.01653944,
       0.01653944, 0.02798982, 0.02798982, 0.03053435, 0.03053435,
       0.03307888, 0.03307888, 0.0394402 , 0.0394402 , 0.04707379,
       0.04707379, 0.05089059, 0.05089059, 0.05216285, 0.05216285,
       0.05470738, 0.05470738, 0.05597964, 0.05597964, 0.05725191,
       0.05725191, 0.06234097, 0.06234097, 0.07124682, 0.07124682,
       0.08396947, 0.08396947, 0.10050891, 0.10050891, 0.11068702,
       0.11068702, 0.11323155, 0.11323155, 0.12849873, 0.12849873,
       0.17302799, 0.17302799, 0.22391858, 0.22391858, 0.40458015,
       0.40458015, 1.        ]), array([0.        , 0.        , 0.00970874, 0.00970874, 0.34951456,
       0.34951456, 0.4368932 , 0.4368932 , 0.5631068 , 0.5631068 ,
       0.60194175, 0.60194175, 0.61165049, 0.61165049, 0.66019417,
       0.66019417, 0.69902913, 0.69902913, 0.70873786, 0.70873786,
       0.7184466 , 0.7184466 , 0.74757282, 0.74757282, 0.76699029,
       0.76699029, 0.78640777, 0.78640777, 0.82524272, 0.82524272,
       0.83495146, 0.83495146, 0.84466019, 0.84466019, 0.85436893,
       0.85436893, 0.86407767, 0.86407767, 0.87378641, 0.87378641,
       0.90291262, 0.90291262, 0.91262136, 0.91262136, 0.9223301 ,
       0.9223301 , 0.93203883, 0.93203883, 0.94174757, 0.94174757,
       0.95145631, 0.95145631, 0.96116505, 0.96116505, 0.97087379,
       0.97087379, 0.98058252, 0.98058252, 0.99029126, 0.99029126,
       1.        , 1.        ]), array([           inf, 9.89497051e-01, 9.84199026e-01, 9.83317843e-01,
       9.18964878e-01, 9.09730570e-01, 8.75825589e-01, 8.71799319e-01,
       7.48405247e-01, 7.36055078e-01, 7.06334674e-01, 7.06153397e-01,
       7.01473187e-01, 6.52033095e-01, 6.28233704e-01, 6.15358436e-01,
       5.90957686e-01, 5.73158914e-01, 5.68626275e-01, 5.21676156e-01,
       5.10330013e-01, 4.57548388e-01, 4.27806585e-01, 3.88569752e-01,
       3.67578340e-01, 3.59563959e-01, 3.57570866e-01, 3.18359740e-01,
       2.98735458e-01, 2.48027159e-01, 2.42731123e-01, 2.37141693e-01,
       2.30673652e-01, 2.29501124e-01, 2.23152382e-01, 2.17985281e-01,
       2.14915526e-01, 2.11371655e-01, 2.06685743e-01, 2.00899139e-01,
       1.75282643e-01, 1.67539042e-01, 1.64147571e-01, 1.50686042e-01,
       1.48088947e-01, 1.16859775e-01, 1.14170234e-01, 9.34791509e-02,
       9.23990993e-02, 7.54715154e-02, 7.41756669e-02, 7.36116187e-02,
       7.35403288e-02, 6.61341342e-02, 6.52960949e-02, 3.98961563e-02,
       3.95414712e-02, 3.01464449e-02, 3.01188406e-02, 9.62509768e-03,
       9.58547543e-03, 9.15798939e-05]))",0.9745300032115418,"[[0.9783715 0.0216285]
 [0.2815534 0.7184466]]"
Model,Accuracy,F1 Score,Precision,Recall,ROC,ROC_AUC,cm
"LR(solver=lbfgs,penalty=l2,C=0.01,class_weight=None)",0.9482564679415073,0.7628865979381443,0.8131868131868132,0.7184466019417476,"(array([0.        , 0.00127226, 0.00127226, 0.00254453, 0.00254453,
       0.00381679, 0.00381679, 0.00508906, 0.00508906, 0.00636132,
       0.00636132, 0.00763359, 0.00763359, 0.01017812, 0.01017812,
       0.01145038, 0.01145038, 0.01272265, 0.01272265, 0.01653944,
       0.01653944, 0.02798982, 0.02798982, 0.03053435, 0.03053435,
       0.03307888, 0.03307888, 0.0394402 , 0.0394402 , 0.04707379,
       0.04707379, 0.05089059, 0.05089059, 0.05216285, 0.05216285,
       0.05470738, 0.05470738, 0.05597964, 0.05597964, 0.05725191,
       0.05725191, 0.06234097, 0.06234097, 0.07124682, 0.07124682,
       0.08396947, 0.08396947, 0.10050891, 0.10050891, 0.11068702,
       0.11068702, 0.11323155, 0.11323155, 0.12849873, 0.12849873,
       0.17302799, 0.17302799, 0.22391858, 0.22391858, 0.40458015,
       0.40458015, 1.        ]), array([0.        , 0.        , 0.00970874, 0.00970874, 0.34951456,
       0.34951456, 0.4368932 , 0.4368932 , 0.5631068 , 0.5631068 ,
       0.60194175, 0.60194175, 0.61165049, 0.61165049, 0.66019417,
       0.66019417, 0.69902913, 0.69902913, 0.70873786, 0.70873786,
       0.7184466 , 0.7184466 , 0.74757282, 0.74757282, 0.76699029,
       0.76699029, 0.78640777, 0.78640777, 0.82524272, 0.82524272,
       0.83495146, 0.83495146, 0.84466019, 0.84466019, 0.85436893,
       0.85436893, 0.86407767, 0.86407767, 0.87378641, 0.87378641,
       0.90291262, 0.90291262, 0.91262136, 0.91262136, 0.9223301 ,
       0.9223301 , 0.93203883, 0.93203883, 0.94174757, 0.94174757,
       0.95145631, 0.95145631, 0.96116505, 0.96116505, 0.97087379,
       0.97087379, 0.98058252, 0.98058252, 0.99029126, 0.99029126,
       1.        , 1.        ]), array([           inf, 9.89497051e-01, 9.84199026e-01, 9.83317843e-01,
       9.18964878e-01, 9.09730570e-01, 8.75825589e-01, 8.71799319e-01,
       7.48405247e-01, 7.36055078e-01, 7.06334674e-01, 7.06153397e-01,
       7.01473187e-01, 6.52033095e-01, 6.28233704e-01, 6.15358436e-01,
       5.90957686e-01, 5.73158914e-01, 5.68626275e-01, 5.21676156e-01,
       5.10330013e-01, 4.57548388e-01, 4.27806585e-01, 3.88569752e-01,
       3.67578340e-01, 3.59563959e-01, 3.57570866e-01, 3.18359740e-01,
       2.98735458e-01, 2.48027159e-01, 2.42731123e-01, 2.37141693e-01,
       2.30673652e-01, 2.29501124e-01, 2.23152382e-01, 2.17985281e-01,
       2.14915526e-01, 2.11371655e-01, 2.06685743e-01, 2.00899139e-01,
       1.75282643e-01, 1.67539042e-01, 1.64147571e-01, 1.50686042e-01,
       1.48088947e-01, 1.16859775e-01, 1.14170234e-01, 9.34791509e-02,
       9.23990993e-02, 7.54715154e-02, 7.41756669e-02, 7.36116187e-02,
       7.35403288e-02, 6.61341342e-02, 6.52960949e-02, 3.98961563e-02,
       3.95414712e-02, 3.01464449e-02, 3.01188406e-02, 9.62509768e-03,
       9.58547543e-03, 9.15798939e-05]))",0.9745300032115418,"[[0.9783715 0.0216285]
 [0.2815534 0.7184466]]"
